_id,epi_week,disease,no._of_cases
14156,2020-W03,Pertussis,1
14157,2020-W03,Pneumococcal Disease (invasive),2
14158,2020-W03,Haemophilus influenzae type b,0
14159,2020-W03,Salmonellosis(non-enteric fevers),26
14160,2020-W03,Avian Influenza,0
14161,2020-W03,Zika,0
14162,2020-W03,Ebola Virus Disease,0
14163,2020-W03,Japanese Encephalitis,0
14164,2020-W03,Tetanus,0
14165,2020-W03,Botulism,0
14166,2020-W03,Murine Typhus,0
14167,2020-W04,Cholera,0
14168,2020-W04,Paratyphoid,1
14169,2020-W04,Typhoid,3
14170,2020-W04,Acute Viral Hepatitis A,1
14171,2020-W04,Acute Viral Hepatitis E,0
14172,2020-W04,Poliomyelitis,0
14173,2020-W04,Plague,0
14174,2020-W04,Yellow Fever,0
14175,2020-W04,Dengue Fever,307
14176,2020-W04,Dengue Haemorrhagic Fever,2
14177,2020-W04,Malaria,0
14178,2020-W04,Chikungunya,0
14179,2020-W04,HFMD,0
14180,2020-W04,Diphtheria,0
14181,2020-W04,Measles,1
14182,2020-W04,Mumps,6
14183,2020-W04,Rubella,0
14184,2020-W04,SARS,0
14185,2020-W04,Nipah,0
14186,2020-W04,Acute Viral hepatitis B,1
14187,2020-W04,Encephalitis,0
14188,2020-W04,Legionellosis,1
14189,2020-W04,Campylobacter enteritis,10
14190,2020-W04,Acute Viral hepatitis C,0
14191,2020-W04,Leptospirosis,1
14192,2020-W04,Melioidosis,1
14193,2020-W04,Meningococcal Infection,1
14194,2020-W04,Pertussis,0
14195,2020-W04,Pneumococcal Disease (invasive),2
14196,2020-W04,Haemophilus influenzae type b,0
14197,2020-W04,Salmonellosis(non-enteric fevers),32
14198,2020-W04,Avian Influenza,0
14199,2020-W04,Zika,0
14200,2020-W04,Ebola Virus Disease,0
14201,2020-W04,Japanese Encephalitis,0
14202,2020-W04,Tetanus,0
14203,2020-W04,Botulism,0
14204,2020-W04,Murine Typhus,1
14205,2020-W05,Cholera,0
14206,2020-W05,Paratyphoid,0
14207,2020-W05,Typhoid,1
14208,2020-W05,Acute Viral Hepatitis A,0
14209,2020-W05,Acute Viral Hepatitis E,1
14210,2020-W05,Poliomyelitis,0
14211,2020-W05,Plague,0
14212,2020-W05,Yellow Fever,0
14213,2020-W05,Dengue Fever,370
14214,2020-W05,Dengue Haemorrhagic Fever,0
14215,2020-W05,Malaria,0
14216,2020-W05,Chikungunya,1
14217,2020-W05,HFMD,0
14218,2020-W05,Diphtheria,0
14219,2020-W05,Measles,0
14220,2020-W05,Mumps,5
14221,2020-W05,Rubella,0
14222,2020-W05,SARS,0
14223,2020-W05,Nipah,0
14224,2020-W05,Acute Viral hepatitis B,1
14225,2020-W05,Encephalitis,0
14226,2020-W05,Legionellosis,1
14227,2020-W05,Campylobacter enteritis,6
14228,2020-W05,Acute Viral hepatitis C,0
14229,2020-W05,Leptospirosis,0
14230,2020-W05,Melioidosis,0
14231,2020-W05,Meningococcal Infection,0
14232,2020-W05,Pertussis,0
14233,2020-W05,Pneumococcal Disease (invasive),6
14234,2020-W05,Haemophilus influenzae type b,1
14235,2020-W05,Salmonellosis(non-enteric fevers),33
14236,2020-W05,Avian Influenza,0
14237,2020-W05,Zika,0
14238,2020-W05,Ebola Virus Disease,0
14239,2020-W05,Japanese Encephalitis,0
14240,2020-W05,Tetanus,0
14241,2020-W05,Botulism,0
14242,2020-W05,Murine Typhus,0
14243,2020-W06,Cholera,0
14244,2020-W06,Paratyphoid,0
14245,2020-W06,Typhoid,1
14246,2020-W06,Acute Viral Hepatitis A,0
14247,2020-W06,Acute Viral Hepatitis E,3
14248,2020-W06,Poliomyelitis,0
14249,2020-W06,Plague,0
14250,2020-W06,Yellow Fever,0
14251,2020-W06,Dengue Fever,400
14252,2020-W06,Dengue Haemorrhagic Fever,0
14253,2020-W06,Malaria,0
14254,2020-W06,Chikungunya,1
14255,2020-W06,HFMD,0
14256,2020-W06,Diphtheria,0
14257,2020-W06,Measles,1
14258,2020-W06,Mumps,10
14259,2020-W06,Rubella,0
14260,2020-W06,SARS,0
14261,2020-W06,Nipah,0
14262,2020-W06,Acute Viral hepatitis B,2
14263,2020-W06,Encephalitis,0
14264,2020-W06,Legionellosis,1
14265,2020-W06,Campylobacter enteritis,9
14266,2020-W06,Acute Viral hepatitis C,0
14267,2020-W06,Leptospirosis,2
14268,2020-W06,Melioidosis,2
14269,2020-W06,Meningococcal Infection,0
14270,2020-W06,Pertussis,2
14271,2020-W06,Pneumococcal Disease (invasive),3
14272,2020-W06,Haemophilus influenzae type b,0
14273,2020-W06,Salmonellosis(non-enteric fevers),42
14274,2020-W06,Avian Influenza,0
14275,2020-W06,Zika,0
14276,2020-W06,Ebola Virus Disease,0
14277,2020-W06,Japanese Encephalitis,0
14278,2020-W06,Tetanus,0
14279,2020-W06,Botulism,0
14280,2020-W06,Murine Typhus,1
14281,2020-W07,Cholera,0
14282,2020-W07,Paratyphoid,0
14283,2020-W07,Typhoid,0
14284,2020-W07,Acute Viral Hepatitis A,0
14285,2020-W07,Acute Viral Hepatitis E,1
14286,2020-W07,Poliomyelitis,0
14287,2020-W07,Plague,0
14288,2020-W07,Yellow Fever,0
14289,2020-W07,Dengue Fever,378
14290,2020-W07,Dengue Haemorrhagic Fever,2
14291,2020-W07,Malaria,1
14292,2020-W07,Chikungunya,2
14293,2020-W07,HFMD,0
14294,2020-W07,Diphtheria,0
14295,2020-W07,Measles,2
14296,2020-W07,Mumps,7
14297,2020-W07,Rubella,0
14298,2020-W07,SARS,0
14299,2020-W07,Nipah,0
14300,2020-W07,Acute Viral hepatitis B,1
14301,2020-W07,Encephalitis,0
14302,2020-W07,Legionellosis,0
14303,2020-W07,Campylobacter enteritis,7
14304,2020-W07,Acute Viral hepatitis C,0
14305,2020-W07,Leptospirosis,2
14306,2020-W07,Melioidosis,1
14307,2020-W07,Meningococcal Infection,0
14308,2020-W07,Pertussis,0
14309,2020-W07,Pneumococcal Disease (invasive),3
14310,2020-W07,Haemophilus influenzae type b,0
14311,2020-W07,Salmonellosis(non-enteric fevers),26
14312,2020-W07,Avian Influenza,0
14313,2020-W07,Zika,0
14314,2020-W07,Ebola Virus Disease,0
14315,2020-W07,Japanese Encephalitis,0
14316,2020-W07,Tetanus,0
14317,2020-W07,Botulism,0
14318,2020-W07,Murine Typhus,0
14319,2020-W08,Cholera,0
14320,2020-W08,Paratyphoid,1
14321,2020-W08,Typhoid,1
14322,2020-W08,Acute Viral Hepatitis A,0
14323,2020-W08,Acute Viral Hepatitis E,1
14324,2020-W08,Poliomyelitis,0
14325,2020-W08,Plague,0
14326,2020-W08,Yellow Fever,0
14327,2020-W08,Dengue Fever,380
14328,2020-W08,Dengue Haemorrhagic Fever,1
14329,2020-W08,Malaria,0
14330,2020-W08,Chikungunya,0
14331,2020-W08,HFMD,0
14332,2020-W08,Diphtheria,0
14333,2020-W08,Measles,0
14334,2020-W08,Mumps,9
14335,2020-W08,Rubella,0
14336,2020-W08,SARS,0
14337,2020-W08,Nipah,0
14338,2020-W08,Acute Viral hepatitis B,0
14339,2020-W08,Encephalitis,0
14340,2020-W08,Legionellosis,0
14341,2020-W08,Campylobacter enteritis,9
14342,2020-W08,Acute Viral hepatitis C,0
14343,2020-W08,Leptospirosis,1
14344,2020-W08,Melioidosis,1
14345,2020-W08,Meningococcal Infection,0
14346,2020-W08,Pertussis,0
14347,2020-W08,Pneumococcal Disease (invasive),1
14348,2020-W08,Haemophilus influenzae type b,0
14349,2020-W08,Salmonellosis(non-enteric fevers),22
14350,2020-W08,Avian Influenza,0
14351,2020-W08,Zika,0
14352,2020-W08,Ebola Virus Disease,0
14353,2020-W08,Japanese Encephalitis,0
14354,2020-W08,Tetanus,0
14355,2020-W08,Botulism,0
14356,2020-W08,Murine Typhus,0
14357,2020-W09,Cholera,0
14358,2020-W09,Paratyphoid,2
14359,2020-W09,Typhoid,1
14360,2020-W09,Acute Viral Hepatitis A,1
14361,2020-W09,Acute Viral Hepatitis E,0
14362,2020-W09,Poliomyelitis,0
14363,2020-W09,Plague,0
14364,2020-W09,Yellow Fever,0
14365,2020-W09,Dengue Fever,373
14366,2020-W09,Dengue Haemorrhagic Fever,1
14367,2020-W09,Malaria,0
14368,2020-W09,Chikungunya,0
14369,2020-W09,HFMD,0
14370,2020-W09,Diphtheria,0
14371,2020-W09,Measles,0
14372,2020-W09,Mumps,7
14373,2020-W09,Rubella,0
14374,2020-W09,SARS,0
14375,2020-W09,Nipah,0
14376,2020-W09,Acute Viral hepatitis B,2
14377,2020-W09,Encephalitis,0
14378,2020-W09,Legionellosis,1
14379,2020-W09,Campylobacter enteritis,3
14380,2020-W09,Acute Viral hepatitis C,1
14381,2020-W09,Leptospirosis,0
14382,2020-W09,Melioidosis,0
14383,2020-W09,Meningococcal Infection,0
14384,2020-W09,Pertussis,0
14385,2020-W09,Pneumococcal Disease (invasive),2
14386,2020-W09,Haemophilus influenzae type b,0
14387,2020-W09,Salmonellosis(non-enteric fevers),38
14388,2020-W09,Avian Influenza,0
14389,2020-W09,Zika,0
14390,2020-W09,Ebola Virus Disease,0
14391,2020-W09,Japanese Encephalitis,0
14392,2020-W09,Tetanus,0
14393,2020-W09,Botulism,0
14394,2020-W09,Murine Typhus,0
14395,2020-W10,Cholera,0
14396,2020-W10,Paratyphoid,1
14397,2020-W10,Typhoid,1
14398,2020-W10,Acute Viral Hepatitis A,1
14399,2020-W10,Acute Viral Hepatitis E,3
14400,2020-W10,Poliomyelitis,0
14401,2020-W10,Plague,0
14402,2020-W10,Yellow Fever,0
14403,2020-W10,Dengue Fever,375
14404,2020-W10,Dengue Haemorrhagic Fever,0
14405,2020-W10,Malaria,0
14406,2020-W10,Chikungunya,0
14407,2020-W10,HFMD,0
14408,2020-W10,Diphtheria,0
14409,2020-W10,Measles,1
14410,2020-W10,Mumps,5
14411,2020-W10,Rubella,0
14412,2020-W10,SARS,0
14413,2020-W10,Nipah,0
14414,2020-W10,Acute Viral hepatitis B,0
14415,2020-W10,Encephalitis,0
14416,2020-W10,Legionellosis,0
14417,2020-W10,Campylobacter enteritis,8
14418,2020-W10,Acute Viral hepatitis C,1
14419,2020-W10,Leptospirosis,1
14420,2020-W10,Melioidosis,0
14421,2020-W10,Meningococcal Infection,0
14422,2020-W10,Pertussis,1
14423,2020-W10,Pneumococcal Disease (invasive),1
14424,2020-W10,Haemophilus influenzae type b,0
14425,2020-W10,Salmonellosis(non-enteric fevers),53
14426,2020-W10,Avian Influenza,0
14427,2020-W10,Zika,1
14428,2020-W10,Ebola Virus Disease,0
14429,2020-W10,Japanese Encephalitis,0
14430,2020-W10,Tetanus,0
14431,2020-W10,Botulism,0
14432,2020-W10,Murine Typhus,0
14433,2020-W11,Cholera,0
14434,2020-W11,Paratyphoid,1
14435,2020-W11,Typhoid,3
14436,2020-W11,Acute Viral Hepatitis A,1
14437,2020-W11,Acute Viral Hepatitis E,1
14438,2020-W11,Poliomyelitis,0
14439,2020-W11,Plague,0
14440,2020-W11,Yellow Fever,0
14441,2020-W11,Dengue Fever,389
14442,2020-W11,Dengue Haemorrhagic Fever,0
14443,2020-W11,Malaria,1
14444,2020-W11,Chikungunya,0
14445,2020-W11,HFMD,0
14446,2020-W11,Diphtheria,0
14447,2020-W11,Measles,0
14448,2020-W11,Mumps,4
14449,2020-W11,Rubella,0
14450,2020-W11,SARS,0
14451,2020-W11,Nipah,0
14452,2020-W11,Acute Viral hepatitis B,0
14453,2020-W11,Encephalitis,0
14454,2020-W11,Legionellosis,0
14455,2020-W11,Campylobacter enteritis,7
14456,2020-W11,Acute Viral hepatitis C,0
14457,2020-W11,Leptospirosis,0
14458,2020-W11,Melioidosis,1
14459,2020-W11,Meningococcal Infection,0
14460,2020-W11,Pertussis,3
14461,2020-W11,Pneumococcal Disease (invasive),0
14462,2020-W11,Haemophilus influenzae type b,0
14463,2020-W11,Salmonellosis(non-enteric fevers),41
14464,2020-W11,Avian Influenza,0
14465,2020-W11,Zika,0
14466,2020-W11,Ebola Virus Disease,0
14467,2020-W11,Japanese Encephalitis,0
14468,2020-W11,Tetanus,0
14469,2020-W11,Botulism,0
14470,2020-W11,Murine Typhus,1
14471,2020-W12,Cholera,0
14472,2020-W12,Paratyphoid,0
14473,2020-W12,Typhoid,2
14474,2020-W12,Acute Viral Hepatitis A,2
14475,2020-W12,Acute Viral Hepatitis E,1
14476,2020-W12,Poliomyelitis,0
14477,2020-W12,Plague,0
14478,2020-W12,Yellow Fever,0
14479,2020-W12,Dengue Fever,367
14480,2020-W12,Dengue Haemorrhagic Fever,1
14481,2020-W12,Malaria,1
14482,2020-W12,Chikungunya,1
14483,2020-W12,HFMD,0
14484,2020-W12,Diphtheria,0
14485,2020-W12,Measles,1
14486,2020-W12,Mumps,3
14487,2020-W12,Rubella,0
14488,2020-W12,SARS,0
14489,2020-W12,Nipah,0
14490,2020-W12,Acute Viral hepatitis B,2
14491,2020-W12,Encephalitis,0
14492,2020-W12,Legionellosis,0
14493,2020-W12,Campylobacter enteritis,9
14494,2020-W12,Acute Viral hepatitis C,0
14495,2020-W12,Leptospirosis,1
14496,2020-W12,Melioidosis,1
14497,2020-W12,Meningococcal Infection,1
14498,2020-W12,Pertussis,0
14499,2020-W12,Pneumococcal Disease (invasive),1
14500,2020-W12,Haemophilus influenzae type b,0
14501,2020-W12,Salmonellosis(non-enteric fevers),44
14502,2020-W12,Avian Influenza,0
14503,2020-W12,Zika,0
14504,2020-W12,Ebola Virus Disease,0
14505,2020-W12,Japanese Encephalitis,0
14506,2020-W12,Tetanus,0
14507,2020-W12,Botulism,0
14508,2020-W12,Murine Typhus,0
14509,2020-W13,Cholera,0
14510,2020-W13,Paratyphoid,0
14511,2020-W13,Typhoid,0
14512,2020-W13,Acute Viral Hepatitis A,0
14513,2020-W13,Acute Viral Hepatitis E,0
14514,2020-W13,Poliomyelitis,0
14515,2020-W13,Plague,0
14516,2020-W13,Yellow Fever,0
14517,2020-W13,Dengue Fever,377
14518,2020-W13,Dengue Haemorrhagic Fever,0
14519,2020-W13,Malaria,0
14520,2020-W13,Chikungunya,0
14521,2020-W13,HFMD,0
14522,2020-W13,Diphtheria,0
14523,2020-W13,Measles,1
14524,2020-W13,Mumps,7
14525,2020-W13,Rubella,0
14526,2020-W13,SARS,0
14527,2020-W13,Nipah,0
14528,2020-W13,Acute Viral hepatitis B,0
14529,2020-W13,Encephalitis,0
14530,2020-W13,Legionellosis,1
14531,2020-W13,Campylobacter enteritis,4
14532,2020-W13,Acute Viral hepatitis C,0
14533,2020-W13,Leptospirosis,2
14534,2020-W13,Melioidosis,1
14535,2020-W13,Meningococcal Infection,0
14536,2020-W13,Pertussis,0
14537,2020-W13,Pneumococcal Disease (invasive),1
14538,2020-W13,Haemophilus influenzae type b,0
14539,2020-W13,Salmonellosis(non-enteric fevers),32
14540,2020-W13,Avian Influenza,0
14541,2020-W13,Zika,0
14542,2020-W13,Ebola Virus Disease,0
14543,2020-W13,Japanese Encephalitis,0
14544,2020-W13,Tetanus,0
14545,2020-W13,Botulism,0
14546,2020-W13,Murine Typhus,0
14547,2020-W14,Cholera,0
14548,2020-W14,Paratyphoid,2
14549,2020-W14,Typhoid,3
14550,2020-W14,Acute Viral Hepatitis A,1
14551,2020-W14,Acute Viral Hepatitis E,1
14552,2020-W14,Poliomyelitis,0
14553,2020-W14,Plague,0
14554,2020-W14,Yellow Fever,0
14555,2020-W14,Dengue Fever,315
14556,2020-W14,Dengue Haemorrhagic Fever,0
14557,2020-W14,Malaria,0
14558,2020-W14,Chikungunya,0
14559,2020-W14,HFMD,0
14560,2020-W14,Diphtheria,0
14561,2020-W14,Measles,0
14562,2020-W14,Mumps,5
14563,2020-W14,Rubella,0
14564,2020-W14,SARS,0
14565,2020-W14,Nipah,0
14566,2020-W14,Acute Viral hepatitis B,3
14567,2020-W14,Encephalitis,0
14568,2020-W14,Legionellosis,0
14569,2020-W14,Campylobacter enteritis,11
14570,2020-W14,Acute Viral hepatitis C,0
14571,2020-W14,Leptospirosis,2
14572,2020-W14,Melioidosis,0
14573,2020-W14,Meningococcal Infection,0
14574,2020-W14,Pertussis,1
14575,2020-W14,Pneumococcal Disease (invasive),2
14576,2020-W14,Haemophilus influenzae type b,0
14577,2020-W14,Salmonellosis(non-enteric fevers),20
14578,2020-W14,Avian Influenza,0
14579,2020-W14,Zika,0
14580,2020-W14,Ebola Virus Disease,0
14581,2020-W14,Japanese Encephalitis,0
14582,2020-W14,Tetanus,0
14583,2020-W14,Botulism,0
14584,2020-W14,Murine Typhus,0
14585,2020-W15,Cholera,0
14586,2020-W15,Paratyphoid,0
14587,2020-W15,Typhoid,0
14588,2020-W15,Acute Viral Hepatitis A,0
14589,2020-W15,Acute Viral Hepatitis E,1
14590,2020-W15,Poliomyelitis,0
14591,2020-W15,Plague,0
14592,2020-W15,Yellow Fever,0
14593,2020-W15,Dengue Fever,341
14594,2020-W15,Dengue Haemorrhagic Fever,2
14595,2020-W15,Malaria,0
14596,2020-W15,Chikungunya,0
14597,2020-W15,HFMD,0
14598,2020-W15,Diphtheria,0
14599,2020-W15,Measles,0
14600,2020-W15,Mumps,2
14601,2020-W15,Rubella,0
14602,2020-W15,SARS,0
14603,2020-W15,Nipah,0
14604,2020-W15,Acute Viral hepatitis B,0
14605,2020-W15,Encephalitis,0
14606,2020-W15,Legionellosis,0
14607,2020-W15,Campylobacter enteritis,5
14608,2020-W15,Acute Viral hepatitis C,0
14609,2020-W15,Leptospirosis,0
14610,2020-W15,Melioidosis,0
14611,2020-W15,Meningococcal Infection,0
14612,2020-W15,Pertussis,0
14613,2020-W15,Pneumococcal Disease (invasive),0
14614,2020-W15,Haemophilus influenzae type b,0
14615,2020-W15,Salmonellosis(non-enteric fevers),17
14616,2020-W15,Avian Influenza,0
14617,2020-W15,Zika,0
14618,2020-W15,Ebola Virus Disease,0
14619,2020-W15,Japanese Encephalitis,0
14620,2020-W15,Tetanus,0
14621,2020-W15,Botulism,0
14622,2020-W15,Murine Typhus,0
14623,2020-W16,Cholera,0
14624,2020-W16,Paratyphoid,0
14625,2020-W16,Typhoid,2
14626,2020-W16,Acute Viral Hepatitis A,1
14627,2020-W16,Acute Viral Hepatitis E,1
14628,2020-W16,Poliomyelitis,0
14629,2020-W16,Plague,0
14630,2020-W16,Yellow Fever,0
14631,2020-W16,Dengue Fever,360
14632,2020-W16,Dengue Haemorrhagic Fever,0
14633,2020-W16,Malaria,1
14634,2020-W16,Chikungunya,0
14635,2020-W16,HFMD,0
14636,2020-W16,Diphtheria,0
14637,2020-W16,Measles,0
14638,2020-W16,Mumps,3
14639,2020-W16,Rubella,0
14640,2020-W16,SARS,0
14641,2020-W16,Nipah,0
14642,2020-W16,Acute Viral hepatitis B,0
14643,2020-W16,Encephalitis,0
14644,2020-W16,Legionellosis,0
14645,2020-W16,Campylobacter enteritis,9
14646,2020-W16,Acute Viral hepatitis C,0
14647,2020-W16,Leptospirosis,0
14648,2020-W16,Melioidosis,0
14649,2020-W16,Meningococcal Infection,0
14650,2020-W16,Pertussis,1
14651,2020-W16,Pneumococcal Disease (invasive),1
14652,2020-W16,Haemophilus influenzae type b,0
14653,2020-W16,Salmonellosis(non-enteric fevers),17
14654,2020-W16,Avian Influenza,0
14655,2020-W16,Zika,0
14656,2020-W16,Ebola Virus Disease,0
14657,2020-W16,Japanese Encephalitis,0
14658,2020-W16,Tetanus,0
14659,2020-W16,Botulism,0
14660,2020-W16,Murine Typhus,0
14661,2020-W17,Cholera,0
14662,2020-W17,Paratyphoid,1
14663,2020-W17,Typhoid,1
14664,2020-W17,Acute Viral Hepatitis A,0
14665,2020-W17,Acute Viral Hepatitis E,0
14666,2020-W17,Poliomyelitis,0
14667,2020-W17,Plague,0
14668,2020-W17,Yellow Fever,0
14669,2020-W17,Dengue Fever,399
14670,2020-W17,Dengue Haemorrhagic Fever,1
14671,2020-W17,Malaria,0
14672,2020-W17,Chikungunya,0
14673,2020-W17,HFMD,0
14674,2020-W17,Diphtheria,0
14675,2020-W17,Measles,0
14676,2020-W17,Mumps,0
14677,2020-W17,Rubella,0
14678,2020-W17,SARS,0
14679,2020-W17,Nipah,0
14680,2020-W17,Acute Viral hepatitis B,0
14681,2020-W17,Encephalitis,0
14682,2020-W17,Legionellosis,0
14683,2020-W17,Campylobacter enteritis,6
14684,2020-W17,Acute Viral hepatitis C,1
14685,2020-W17,Leptospirosis,1
14686,2020-W17,Melioidosis,0
14687,2020-W17,Meningococcal Infection,0
14688,2020-W17,Pertussis,0
14689,2020-W17,Pneumococcal Disease (invasive),1
14690,2020-W17,Haemophilus influenzae type b,0
14691,2020-W17,Salmonellosis(non-enteric fevers),29
14692,2020-W17,Avian Influenza,0
14693,2020-W17,Zika,0
14694,2020-W17,Ebola Virus Disease,0
14695,2020-W17,Japanese Encephalitis,0
14696,2020-W17,Tetanus,0
14697,2020-W17,Botulism,0
14698,2020-W17,Murine Typhus,0
14699,2020-W18,Cholera,0
14700,2020-W18,Paratyphoid,0
14701,2020-W18,Typhoid,1
14702,2020-W18,Acute Viral Hepatitis A,1
14703,2020-W18,Acute Viral Hepatitis E,1
14704,2020-W18,Poliomyelitis,0
14705,2020-W18,Plague,0
14706,2020-W18,Yellow Fever,0
14707,2020-W18,Dengue Fever,390
14708,2020-W18,Dengue Haemorrhagic Fever,0
14709,2020-W18,Malaria,0
14710,2020-W18,Chikungunya,0
14711,2020-W18,HFMD,0
14712,2020-W18,Diphtheria,0
14713,2020-W18,Measles,0
14714,2020-W18,Mumps,5
14715,2020-W18,Rubella,0
14716,2020-W18,SARS,0
14717,2020-W18,Nipah,0
14718,2020-W18,Acute Viral hepatitis B,1
14719,2020-W18,Encephalitis,0
14720,2020-W18,Legionellosis,0
14721,2020-W18,Campylobacter enteritis,4
14722,2020-W18,Acute Viral hepatitis C,0
14723,2020-W18,Leptospirosis,0
14724,2020-W18,Melioidosis,0
14725,2020-W18,Meningococcal Infection,0
14726,2020-W18,Pertussis,1
14727,2020-W18,Pneumococcal Disease (invasive),0
14728,2020-W18,Haemophilus influenzae type b,0
14729,2020-W18,Salmonellosis(non-enteric fevers),18
14730,2020-W18,Avian Influenza,0
14731,2020-W18,Zika,0
14732,2020-W18,Ebola Virus Disease,0
14733,2020-W18,Japanese Encephalitis,0
14734,2020-W18,Tetanus,0
14735,2020-W18,Botulism,0
14736,2020-W18,Murine Typhus,0
14737,2020-W19,Cholera,0
14738,2020-W19,Paratyphoid,0
14739,2020-W19,Typhoid,0
14740,2020-W19,Acute Viral Hepatitis A,0
14741,2020-W19,Acute Viral Hepatitis E,0
14742,2020-W19,Poliomyelitis,0
14743,2020-W19,Plague,0
14744,2020-W19,Yellow Fever,0
14745,2020-W19,Dengue Fever,502
14746,2020-W19,Dengue Haemorrhagic Fever,5
14747,2020-W19,Malaria,0
14748,2020-W19,Chikungunya,0
14749,2020-W19,HFMD,0
14750,2020-W19,Diphtheria,0
14751,2020-W19,Measles,0
14752,2020-W19,Mumps,7
14753,2020-W19,Rubella,0
14754,2020-W19,SARS,0
14755,2020-W19,Nipah,0
14756,2020-W19,Acute Viral hepatitis B,1
14757,2020-W19,Encephalitis,0
14758,2020-W19,Legionellosis,0
14759,2020-W19,Campylobacter enteritis,4
14760,2020-W19,Acute Viral hepatitis C,1
14761,2020-W19,Leptospirosis,0
14762,2020-W19,Melioidosis,0
14763,2020-W19,Meningococcal Infection,0
14764,2020-W19,Pertussis,0
14765,2020-W19,Pneumococcal Disease (invasive),1
14766,2020-W19,Haemophilus influenzae type b,0
14767,2020-W19,Salmonellosis(non-enteric fevers),23
14768,2020-W19,Avian Influenza,0
14769,2020-W19,Zika,0
14770,2020-W19,Ebola Virus Disease,0
14771,2020-W19,Japanese Encephalitis,0
14772,2020-W19,Tetanus,0
14773,2020-W19,Botulism,0
14774,2020-W19,Murine Typhus,0
14775,2020-W20,Cholera,0
14776,2020-W20,Paratyphoid,0
14777,2020-W20,Typhoid,0
14778,2020-W20,Acute Viral Hepatitis A,0
14779,2020-W20,Acute Viral Hepatitis E,1
14780,2020-W20,Poliomyelitis,0
14781,2020-W20,Plague,0
14782,2020-W20,Yellow Fever,0
14783,2020-W20,Dengue Fever,524
14784,2020-W20,Dengue Haemorrhagic Fever,2
14785,2020-W20,Malaria,0
14786,2020-W20,Chikungunya,0
14787,2020-W20,HFMD,0
14788,2020-W20,Diphtheria,0
14789,2020-W20,Measles,0
14790,2020-W20,Mumps,3
14791,2020-W20,Rubella,0
14792,2020-W20,SARS,0
14793,2020-W20,Nipah,0
14794,2020-W20,Acute Viral hepatitis B,0
14795,2020-W20,Encephalitis,0
14796,2020-W20,Legionellosis,0
14797,2020-W20,Campylobacter enteritis,8
14798,2020-W20,Acute Viral hepatitis C,0
14799,2020-W20,Leptospirosis,0
14800,2020-W20,Melioidosis,0
14801,2020-W20,Meningococcal Infection,0
14802,2020-W20,Pertussis,0
14803,2020-W20,Pneumococcal Disease (invasive),1
14804,2020-W20,Haemophilus influenzae type b,0
14805,2020-W20,Salmonellosis(non-enteric fevers),29
14806,2020-W20,Avian Influenza,0
14807,2020-W20,Zika,0
14808,2020-W20,Ebola Virus Disease,0
14809,2020-W20,Japanese Encephalitis,0
14810,2020-W20,Tetanus,0
14811,2020-W20,Botulism,0
14812,2020-W20,Murine Typhus,0
14813,2020-W21,Cholera,0
14814,2020-W21,Paratyphoid,0
14815,2020-W21,Typhoid,1
14816,2020-W21,Acute Viral Hepatitis A,0
14817,2020-W21,Acute Viral Hepatitis E,1
14818,2020-W21,Poliomyelitis,0
14819,2020-W21,Plague,0
14820,2020-W21,Yellow Fever,0
14821,2020-W21,Dengue Fever,618
14822,2020-W21,Dengue Haemorrhagic Fever,1
14823,2020-W21,Malaria,0
14824,2020-W21,Chikungunya,0
14825,2020-W21,HFMD,0
14826,2020-W21,Diphtheria,0
14827,2020-W21,Measles,0
14828,2020-W21,Mumps,3
14829,2020-W21,Rubella,0
14830,2020-W21,SARS,0
14831,2020-W21,Nipah,0
14832,2020-W21,Acute Viral hepatitis B,2
14833,2020-W21,Encephalitis,0
14834,2020-W21,Legionellosis,0
14835,2020-W21,Campylobacter enteritis,3
14836,2020-W21,Acute Viral hepatitis C,0
14837,2020-W21,Leptospirosis,0
14838,2020-W21,Melioidosis,1
14839,2020-W21,Meningococcal Infection,0
14840,2020-W21,Pertussis,0
14841,2020-W21,Pneumococcal Disease (invasive),0
14842,2020-W21,Haemophilus influenzae type b,0
14843,2020-W21,Salmonellosis(non-enteric fevers),43
14844,2020-W21,Avian Influenza,0
14845,2020-W21,Zika,0
14846,2020-W21,Ebola Virus Disease,0
14847,2020-W21,Japanese Encephalitis,0
14848,2020-W21,Tetanus,0
14849,2020-W21,Botulism,0
14850,2020-W21,Murine Typhus,0
14851,2020-W22,Cholera,0
14852,2020-W22,Paratyphoid,0
14853,2020-W22,Typhoid,0
14854,2020-W22,Acute Viral Hepatitis A,1
14855,2020-W22,Acute Viral Hepatitis E,2
14856,2020-W22,Poliomyelitis,0
14857,2020-W22,Plague,0
14858,2020-W22,Yellow Fever,0
14859,2020-W22,Dengue Fever,731
14860,2020-W22,Dengue Haemorrhagic Fever,1
14861,2020-W22,Malaria,0
14862,2020-W22,Chikungunya,0
14863,2020-W22,HFMD,0
14864,2020-W22,Diphtheria,0
14865,2020-W22,Measles,0
14866,2020-W22,Mumps,4
14867,2020-W22,Rubella,0
14868,2020-W22,SARS,0
14869,2020-W22,Nipah,0
14870,2020-W22,Acute Viral hepatitis B,1
14871,2020-W22,Encephalitis,0
14872,2020-W22,Legionellosis,0
14873,2020-W22,Campylobacter enteritis,8
14874,2020-W22,Acute Viral hepatitis C,0
14875,2020-W22,Leptospirosis,0
14876,2020-W22,Melioidosis,1
