origin_week,target_week,h,predicted,lower,upper,actual,abs_error,signed_error,in_pi,winkler_alpha20,p_exceed_200,p_exceed_300,p_exceed_400,p_exceed_500,model_kind
2020-04-12,2020-06-07,8,685.1234195389401,437.4868821399782,932.759956937902,1153.0,467.8765804610599,-467.8765804610599,False,2697.673505418904,0.99397492356604,0.9768769153786526,0.9299752693632636,0.8309873248809813,sarima
2020-04-12,2020-06-14,9,651.0914251485522,387.1462014739973,915.036648823107,1371.0,719.9085748514478,-719.9085748514478,False,5087.52395911804,0.9857486943904817,0.9558788161069592,0.8886135205563575,0.7684135986401317,sarima
2020-04-12,2020-06-21,10,715.0895763810651,435.7728516964517,994.4063010656785,1460.0,744.9104236189349,-744.9104236189349,False,5214.570438712442,0.9909460882175746,0.971582132649396,0.9258746482077085,0.8381551556587861,sarima
2020-04-12,2020-06-28,11,811.0974154530172,517.2235058262813,1104.9713250797531,1448.0,636.9025845469828,-636.9025845469828,False,4018.0345684559406,0.9961509140955953,0.9870905006261745,0.9634989882890924,0.9125637326230375,sarima
2020-04-12,2020-07-05,12,881.0921292556778,573.3348893103284,1188.8493692010272,1667.0,785.9078707443222,-785.9078707443222,False,5397.020787880427,0.9977179251225596,0.9922366360329972,0.9774340022906345,0.9437425491653632,sarima
2020-05-10,2020-05-17,1,590.7764601725382,502.90307859617263,678.6498417489039,619.0,28.223539827461764,-28.223539827461764,True,175.74676315273126,0.9999999939859243,0.999988866977431,0.9973020957404404,0.9072385640326834,sarima
2020-05-10,2020-05-24,2,617.248463456439,501.64643307188874,732.8504938409893,732.0,114.75153654356097,-114.75153654356097,True,231.20406076910058,0.9999981337376107,0.9997818676068361,0.9919905339276897,0.9031742992345746,sarima
2020-05-10,2020-05-31,3,615.1486891110859,473.6942893630524,756.6030888591195,868.0,252.8513108889141,-252.8513108889141,False,1396.8779109048726,0.9999154888052165,0.9978501813352733,0.9743691403795148,0.8515874337514968,sarima
2020-05-10,2020-06-07,4,681.95785307332,513.7795496257669,850.1361565208732,1153.0,471.04214692667995,-471.04214692667995,False,3364.9950416863744,0.9998800237903135,0.9981969200401003,0.984169128356468,0.9172191579964354,sarima
2020-05-10,2020-06-14,5,648.3646276277327,458.4044453906821,838.3248098647833,1371.0,722.6353723722673,-722.6353723722673,False,5706.672265826268,0.9987567165508774,0.9906209488615129,0.9530952368099598,0.8415789151784376,sarima
2020-05-10,2020-06-21,6,712.1575520958668,501.9553839322503,922.3597202594833,1460.0,747.8424479041332,-747.8424479041332,False,5796.8071337324,0.9991037494778627,0.9940131666335718,0.971494123747623,0.9020847015459552,sarima
2020-05-10,2020-06-28,7,808.1847310464442,579.2072085350354,1037.162253557853,1448.0,639.8152689535558,-639.8152689535558,False,4566.332509444287,0.9996680196590587,0.9977748120145034,0.9888328150973599,0.9577297013499408,sarima
